id,amount,length,housing,income,purpose,overdue_times,default_times,total_default_number,last_overdue_months,inquire_times,closed_credict_cards,total_balance,mortage_number,account_number,loan_history,recent_loan_number,recent_account_months,credict_used_amount,credict_limit,half_used_credict_card,total_credict_card_number,last_credict_card_months,target
1,10000,3,1,4000,2,0,0,0,43,0,0,49800,0,3,3,0,21,1582,24000,1,3,4,0
2,12000,4,3,6500,1,0,0,0,31,0,0,39800,1,3,3,0,17,3488,43000,1,5,24,0
3,9000,1,3,9000,2,1,0,0,10,0,0,103500,2,2,2,1,14,2364,32500,0,2,32,0
4,7000,2,3,10500,2,1,0,0,6,0,0,245400,3,3,3,0,21,3944,38000,2,4,71,0
5,10000,5,1,12436,1,0,0,0,38,0,0,75700,0,4,2,0,21,6266,56000,2,5,12,0
6,15000,10,3,8000,1,0,0,0,31,0,0,171400,1,3,3,0,25,1932,89000,0,2,17,0
7,15000,7,3,12000,2,1,0,0,3,0,0,418900,1,5,2,0,23,5240,75000,0,3,4,0
8,4000,10,3,9500,2,0,0,0,80,0,0,382700,1,2,1,0,15,1756,35000,0,2,13,0
9,13000,4,3,5000,2,0,0,0,23,0,0,215700,1,2,1,0,18,1422,22000,0,1,16,0
10,4000,2,2,3500,1,0,0,0,43,0,0,15200,0,1,1,1,63,722,18500,0,0,55,0
11,7000,7,2,2700,2,0,0,0,31,0,0,25200,0,4,2,0,33,1870,25000,1,2,56,0
12,35000,10,1,11000,1,0,0,0,31,0,0,80200,0,2,1,0,34,5754,46500,0,2,20,0
13,7000,8,1,2340,2,0,0,0,31,0,0,1500,0,1,0,0,21,314,26000,0,0,25,0
14,3000,3,1,10800,3,0,0,0,31,0,0,19500,1,4,1,0,21,3900,57000,0,2,7,0
15,1000,10,3,3500,3,1,0,0,3,0,0,2400,1,5,4,0,21,426,67000,0,5,9,0
16,6000,5,2,2000,2,0,0,0,31,0,0,16700,0,1,0,0,16,1854,24500,0,1,43,0
17,5000,10,1,5100,1,0,0,0,32,0,0,24400,1,2,3,2,11,1254,25000,0,2,3,1
18,17000,2,3,4200,2,0,0,0,31,0,0,7600,1,2,2,1,36,1538,48000,0,3,3,0
19,8000,10,3,7350,6,0,0,0,15,0,0,46300,2,3,2,0,22,916,21500,0,0,10,0
20,25000,4,3,8000,2,0,0,0,31,0,0,224700,1,4,2,0,56,4678,42500,0,2,18,0
21,6000,1,1,2600,2,0,0,0,31,0,0,76300,0,3,1,0,18,902,24000,0,1,22,1
22,10000,3,2,3600,2,0,0,0,31,0,0,14200,0,2,4,0,21,898,43000,0,7,2,1
23,12000,10,1,3550,6,0,0,0,54,0,0,2300,0,2,1,0,21,472,27000,0,2,37,0
24,3000,7,2,2500,4,0,0,0,31,0,0,1700,0,1,0,0,21,356,16500,0,1,7,0
25,18000,9,1,5100,4,0,0,0,20,1,0,15600,0,4,3,0,21,1704,36500,0,3,2,0
26,3000,7,3,3250,3,0,0,0,31,0,0,106600,1,2,1,0,44,16028,111000,0,1,62,0
27,5000,6,1,2400,2,0,0,0,31,0,0,38400,0,4,1,1,17,1222,30000,0,1,2,1
28,4000,10,1,3600,3,0,0,0,31,0,0,22400,0,2,1,0,15,852,25000,0,2,72,0
29,28000,3,3,23500,2,0,0,0,31,0,0,289100,1,5,4,0,21,928,170000,0,6,2,0
30,5000,10,1,4500,6,0,0,0,34,0,0,10700,0,2,2,1,29,1668,42500,0,1,1,0
31,14000,3,1,6000,6,0,0,0,31,0,0,16800,0,3,1,1,21,2256,54500,0,2,15,0
32,10000,7,3,7000,1,0,0,0,21,0,0,189200,1,3,3,0,21,1068,43500,0,4,15,0
33,12000,4,3,6700,2,0,0,0,31,0,0,46800,1,5,3,0,21,2312,38500,1,3,3,0
34,6000,6,3,1420,2,1,0,0,0,0,0,9800,1,5,3,0,21,1968,44000,0,3,22,0
